seller,time_ago,title,price,condition,url
vivu12345,5 minutes ago,samsung,3500,Like new,https://tw.carousell.com/p/samsung-1435309972/
z19950403tt,8 minutes ago,Pixel 6a,2500,Lightly used,https://tw.carousell.com/p/pixel-6a-1435309685/
change12336,44 minutes ago,小米 Xiaomi Watch S4 46mm 智慧手錶 陸版 銀,2500,Lightly used,https://tw.carousell.com/p/xiaomi-watch-s4-1435304258/
hsuantzu_37,59 minutes ago,iPhone 11 128G,3000,Heavily used,https://tw.carousell.com/p/iphone-11-128g-1435302085/
chocolateoao,1 hour ago,insta360 Snap 補光版 先創公司貨,2700,Like new,https://tw.carousell.com/p/insta360-snap-1435301284/
se7entaeyeonyg,1 hour ago,SAMSUNG NOTE20 Ultra,5000,Well used,https://tw.carousell.com/p/samsung-note20-ultra-1435301100/
phone_recycle,1 hour ago,VIVO V30E 5G 8G 256GB 棕色 板橋 X1952,3800,Lightly used,https://tw.carousell.com/p/vivo-v30e-5g-1435301092/
phone_recycle,1 hour ago,VIVO V29e 5G 8G 256G 黑 板橋 X1951,3500,Well used,https://tw.carousell.com/p/vivo-v29e-5g-1435301002/
phone_recycle,1 hour ago,VIVO V29 5G 12G 256G 藍色 板橋 X1950,3800,Lightly used,https://tw.carousell.com/p/vivo-v29-5g-1435300866/
phone_recycle,1 hour ago,vivo V27 綠 8+256GB 板橋 X1949,3500,Well used,https://tw.carousell.com/p/vivo-v27-1435300764/
kkstt,1 hour ago,iPhone XS Max 256G 金（台北面交）,3500,Lightly used,https://tw.carousell.com/p/iphone-xs-max-256g-1435300669/
phone_recycle,1 hour ago,VIVO V25 5G 8G 128G 金色 新北 X1588,2600,Lightly used,https://tw.carousell.com/p/vivo-v25-5g-1435300449/
phone_recycle,1 hour ago,VIVO V23 12G 256G 金 板橋 X1948,2500,Lightly used,https://tw.carousell.com/p/vivo-v23-1435300274/
phone_recycle,1 hour ago,Sony Xperia 10 III 6G 128G 紫色 板橋 X1937,2500,Lightly used,https://tw.carousell.com/p/sony-xperia-10-iii-1435300042/
